,ruleyear,Nonprofits,Parent-Teacher Groups,Scholarship Orgs,Single Support Fundraising Orgs,Fraternities,Education Service Orgs
0,1900.0,32,0.0,9.0,18.0,1.0,0.0
1,1901.0,1,0.0,0.0,0.0,0.0,0.0
2,1902.0,1,0.0,0.0,0.0,0.0,0.0
3,1903.0,1,0.0,0.0,0.0,0.0,0.0
4,1907.0,1,0.0,1.0,0.0,0.0,0.0
5,1910.0,3,0.0,0.0,0.0,2.0,0.0
6,1912.0,2,2.0,0.0,0.0,0.0,0.0
7,1916.0,1,0.0,0.0,0.0,1.0,0.0
8,1917.0,2,0.0,0.0,0.0,0.0,0.0
9,1918.0,3,0.0,0.0,0.0,0.0,0.0
10,1919.0,5,0.0,0.0,0.0,2.0,0.0
11,1920.0,6,0.0,1.0,0.0,1.0,0.0
12,1921.0,4,0.0,0.0,0.0,3.0,0.0
13,1922.0,4,0.0,0.0,0.0,0.0,0.0
14,1923.0,7,0.0,0.0,0.0,1.0,0.0
15,1924.0,9,0.0,0.0,1.0,2.0,0.0
16,1925.0,13,0.0,0.0,0.0,2.0,0.0
17,1926.0,18,0.0,3.0,0.0,2.0,1.0
18,1927.0,21,7.0,0.0,0.0,2.0,0.0
19,1928.0,10,0.0,0.0,1.0,2.0,0.0
20,1929.0,17,0.0,0.0,1.0,4.0,0.0
21,1930.0,14,0.0,0.0,1.0,3.0,0.0
22,1931.0,22,0.0,0.0,4.0,5.0,0.0
23,1932.0,13,0.0,0.0,0.0,1.0,0.0
24,1933.0,23,1.0,0.0,1.0,2.0,0.0
25,1934.0,72,0.0,1.0,3.0,14.0,0.0
26,1935.0,180,0.0,0.0,1.0,108.0,0.0
27,1936.0,28,0.0,0.0,2.0,7.0,0.0
28,1937.0,152,0.0,1.0,2.0,86.0,0.0
29,1938.0,90,1.0,4.0,3.0,7.0,0.0
30,1939.0,120,0.0,4.0,5.0,9.0,0.0
31,1940.0,1985,3.0,10.0,21.0,1722.0,2.0
32,1941.0,2363,2.0,9.0,17.0,1892.0,4.0
33,1942.0,425,2.0,11.0,12.0,278.0,6.0
34,1943.0,2543,1983.0,3.0,13.0,376.0,3.0
35,1944.0,476,2.0,5.0,8.0,371.0,1.0
36,1945.0,1922,271.0,13.0,40.0,1076.0,2.0
37,1946.0,2325,276.0,32.0,108.0,150.0,18.0
38,1947.0,751,53.0,10.0,9.0,193.0,0.0
39,1948.0,133,0.0,6.0,9.0,50.0,1.0
40,1949.0,179,1.0,7.0,10.0,84.0,4.0
41,1950.0,249,39.0,3.0,9.0,114.0,0.0
42,1951.0,952,120.0,10.0,21.0,692.0,5.0
43,1952.0,1826,126.0,17.0,21.0,1551.0,0.0
44,1953.0,572,17.0,20.0,20.0,423.0,1.0
45,1954.0,2237,1282.0,17.0,18.0,826.0,4.0
46,1955.0,785,278.0,11.0,21.0,378.0,2.0
47,1956.0,1427,3.0,10.0,16.0,1256.0,0.0
48,1957.0,1312,359.0,17.0,17.0,692.0,2.0
49,1958.0,219,6.0,26.0,25.0,46.0,2.0
50,1959.0,474,2.0,42.0,27.0,140.0,5.0
51,1960.0,528,4.0,33.0,28.0,325.0,3.0
52,1961.0,269,1.0,19.0,29.0,136.0,2.0
53,1962.0,677,17.0,371.0,20.0,183.0,5.0
54,1963.0,1054,776.0,32.0,44.0,31.0,3.0
55,1964.0,776,30.0,58.0,88.0,273.0,5.0
56,1965.0,2178,30.0,65.0,55.0,1840.0,5.0
57,1966.0,1473,72.0,47.0,72.0,1009.0,5.0
58,1967.0,6300,3188.0,62.0,84.0,1323.0,195.0
59,1968.0,1427,92.0,44.0,73.0,893.0,8.0
60,1969.0,1957,417.0,41.0,85.0,276.0,2.0
61,1970.0,2713,363.0,76.0,108.0,1672.0,6.0
62,1971.0,3429,2087.0,64.0,117.0,266.0,3.0
63,1972.0,2961,1045.0,73.0,106.0,366.0,15.0
64,1973.0,1226,506.0,61.0,108.0,117.0,4.0
65,1974.0,1232,40.0,96.0,130.0,567.0,12.0
66,1975.0,716,30.0,58.0,119.0,101.0,7.0
67,1976.0,1744,29.0,79.0,131.0,333.0,4.0
68,1977.0,654,25.0,80.0,118.0,47.0,9.0
69,1978.0,998,253.0,59.0,131.0,139.0,7.0
70,1979.0,947,250.0,88.0,133.0,22.0,10.0
71,1980.0,783,183.0,79.0,131.0,18.0,15.0
72,1981.0,1309,46.0,83.0,183.0,19.0,11.0
73,1982.0,1154,47.0,103.0,208.0,285.0,17.0
74,1983.0,1100,37.0,110.0,247.0,217.0,19.0
75,1984.0,1139,57.0,150.0,300.0,31.0,27.0
76,1985.0,2544,1545.0,155.0,272.0,39.0,29.0
77,1986.0,912,41.0,138.0,281.0,23.0,23.0
78,1987.0,899,56.0,145.0,271.0,32.0,17.0
79,1988.0,1833,561.0,149.0,340.0,98.0,24.0
80,1989.0,2197,677.0,174.0,219.0,489.0,25.0
81,1990.0,1595,116.0,149.0,229.0,42.0,18.0
82,1991.0,1078,183.0,158.0,215.0,66.0,19.0
83,1992.0,1215,118.0,176.0,218.0,56.0,30.0
84,1993.0,1441,234.0,181.0,341.0,79.0,42.0
85,1994.0,1752,214.0,251.0,448.0,117.0,46.0
86,1995.0,1490,566.0,217.0,97.0,67.0,61.0
87,1996.0,1454,400.0,281.0,140.0,93.0,89.0
88,1997.0,1346,257.0,295.0,107.0,34.0,73.0
89,1998.0,1721,276.0,316.0,99.0,405.0,111.0
90,1999.0,3081,286.0,669.0,397.0,277.0,164.0
91,2000.0,2675,220.0,575.0,587.0,21.0,149.0
