Bigram,Frequency
SORORITY INC,3715
DELTA KAPPA,3281
KAPPA GAMMA,2455
FRATERNITY INC,2320
KAPPA SORORITY,2277
GAMMA SOCIETY,2007
ALPHA DELTA,1741
HONOR SOCIETY,1478
SIGMA THETA,1366
THETA KAPPA,1330
PHI THETA,1316
DELTA SIGMA,1313
ALPHA KAPPA,1221
SOCIETY INTERNATIONAL,1211
PHI FRATERNITY,1143
KAPPA FRATERNITY,1119
PHI BETA,1090
ALUMNAE CHAPTER,1033
KAPPA ALPHA,996
ALPHA FRATERNITY,912
THETA SORORITY,873
KAPPA DELTA,825
GAMMA FRATERNITY,793
DELTA PI,790
PSI FRATERNITY,772
BETA CHAPTER,758
ALPHA CHAPTER,724
SIGMA PHI,720
FRATERNITY ALPHA,679
FRATERNITY BETA,674
BETA SORORITY,666
KAPPA PSI,660
PI FRATERNITY,654
ALPHA PHI,654
THETA TAU,650
CHI OMEGA,648
ZETA CHAPTER,637
SIGMA INC,628
EPSILON CHAPTER,626
ALPHA PSI,625
GAMMA CHAPTER,623
PSI CHI,608
INTERNATIONAL FRATERNITY,605
BETA GAMMA,596
GAMMA SIGMA,589
SOCIETY PSYCHOLOGY,586
OMEGA FRATERNITY,579
ZETA TAU,575
GAMMA RHO,572
IOTA CHAPTER,560
LAMBDA CHAPTER,558
SIGMA ALPHA,555
NATIONAL HONOR,555
PHI ALPHA,551
EPSILON FRATERNITY,549
BETA PHI,545
TAU ALPHA,544
ETA CHAPTER,542
PHI KAPPA,538
FRATERNITY DELTA,517
MU CHAPTER,501
NU CHAPTER,498
SIGMA GAMMA,495
XI CHAPTER,489
THETA CHAPTER,485
ALPHA OMICRON,483
PI BETA,481
RHO CHAPTER,481
SIGMA PI,465
ALPHA CHI,458
ALPHA EPSILON,457
RHO SORORITY,455
CHI CHAPTER,452
PI CHAPTER,452
UPSILON CHAPTER,447
TAU CHAPTER,446
DELTA CHAPTER,444
CHI NATIONAL,434
PI MU,426
PSI CHAPTER,424
PHI EPSILON,422
ALPHA IOTA,420
OMICRON CHAPTER,420
OMICRON PI,415
DELTA GAMMA,415
OMEGA CHAPTER,412
SIGMA CHAPTER,407
PHI SIGMA,404
HOUSE CORPORATION,399
DELTA FRATERNITY,396
ALPHA SIGMA,394
EPSILON INC,391
STATE UNIVERSITY,391
PI KAPPA,390
SIGMA FRATERNITY,385
THETA FRATERNITY,385
PHI CHAPTER,377
ZETA PHI,373
MU EPSILON,369
INC BETA,368
ALPHA GAMMA,362
ALPHA THETA,360
BETA ALPHA,357
DELTA ZETA,353
ALPHA LAMBDA,353
DELTA LAW,351
BETA KAPPA,350
INC ALPHA,350
SOCIETY PHI,349
LAW FRATERNITY,346
KAPPA SOCIETY,344
GAMMA DELTA,340
KAPPA INC,333
INC DELTA,331
BETA PI,330
GAMMA PHI,327
CHI FRATERNITY,324
INC EPSILON,323
FRATERNITY GAMMA,322
INC ZETA,322
BETA BIOLOGICAL,318
ZETA SORORITY,313
PHI DELTA,312
SIGMA KAPPA,311
KAPPA SIGMA,306
KAPPA CHAPTER,303
NATIONAL COUNCIL,301
BIOLOGICAL SOCIETY,299
LAMBDA DELTA,296
IOTA FRATERNITY,292
PHI OMEGA,292
PHI INTERNATIONAL,289
INTERNATIONAL INC,289
INC GAMMA,289
ASSOCIATION INC,286
PHI MU,280
MU FRATERNITY,280
FRATERNITY EPSILON,275
PSI NATIONAL,275
FRATERNITY ZETA,272
ALUMNAE CLUB,265
PHI GAMMA,265
DELTA THETA,260
INC ETA,260
CHI ALPHA,256
TAU INC,252
TAU BETA,251
PI ASSOCIATION,240
TAU INTERNATIONAL,238
TAU FRATERNITY,236
FRATERNITY ETA,234
INC IOTA,230
SIGMA CHI,228
ALUMNI CHAPTER,228
ALPHA XI,227
DELTA MU,227
DELTA TAU,225
FRATERNITY THETA,219
INC THETA,216
THETA ALPHA,214
INTERNATIONAL HONOR,211
CHI INTERNATIONAL,209
ALPHA OMEGA,205
FRATERNITY CHAPTER,204
BETA THETA,200
LAMBDA THETA,198
MU PHI,196
INC LAMBDA,192
MU HONOR,190
KAPPA IOTA,187
FRATERNITY IOTA,181
PI ALPHA,181
LAMBDA CHI,179
DELTA PHI,175
INC MU,172
KAPPA PHI,171
NATIONAL KAPPA,171
IOTA INC,171
SIGMA IOTA,170
DELTA SORORITY,169
OMEGA PSI,169
DELTA CHI,166
NEW YORK,166
ALPHA PI,165
GAMMA THETA,163
THETA PI,162
PSI PHI,162
INC NU,161
ALPHA TAU,160
INC PI,160
INC KAPPA,160
ALPHA ORDER,159
NATIONAL SORORITY,158
XI DELTA,158
ALPHA ZETA,156
PHARMACEUTICAL FRATERNITY,154
FOREIGN LANGUAGE,150
IOTA FOREIGN,150
NORTH CAROLINA,149
LANGUAGE NATIONAL,149
INC OMICRON,147
PI SORORITY,147
FRATERNITY LAMBDA,147
THETA UPSILON,146
INC XI,145
KAPPA BETA,143
ALUMNI ASSOCIATION,142
PSI PHARMACEUTICAL,142
INC RHO,141
SOCIETY ALPHA,139
INC UNIVERSITY,138
INC NEW,137
INTERNATIONAL TX,137
GAMMA INTERNATIONAL,136
PI PHI,135
BETA PSI,135
PSYCHOLOGY UNIVERSITY,135
FRATERNITY KAPPA,135
BETA TAU,134
DELTA EPSILON,132
SIGMA NU,132
ALUMNAE ASSOCIATION,130
ALPHA BETA,130
HOUSING CORPORATION,128
INC NORTH,124
IOTA XI,124
HOUSE CORP,124
SORORITY ZETA,123
INC TAU,121
PI SIGMA,120
INC SIGMA,120
INC CHAPTER,119
SIGMA SORORITY,118
INTERNATIONAL SORORITY,117
DENTAL HYGIENE,115
ALPHA DENTAL,114
HYGIENE HONOR,114
TAU OMEGA,114
ALPHA MU,114
SORORITY GAMMA,113
AREA ALUMNAE,112
SIGMA DELTA,112
COUNTY ALUMNAE,112
SORORITY ALPHA,112
KAPPA EPSILON,109
SIGMA EPSILON,109
THETA CHI,109
STATE UNIV,109
FRATERNITY MU,109
SORORITY THETA,109
SORORITY BETA,108
PSI IOTA,108
INTERNATIONAL CA,106
ASSOCIATE CHAPTER,105
TAU SORORITY,104
BETA SIGMA,103
NU FRATERNITY,103
INC VIRGINIA,103
SOCIETY BETA,102
INC CALIFORNIA,101
INC TEXAS,101
CHAPTER SIGMA,101
INC UPSILON,100
SORORITY PHI,98
DELTA UPSILON,98
INC CHI,98
INC PSI,98
ALPHA ETA,98
BETA EPSILON,97
ALPHA RHO,96
GRAND BOULE,96
PHI LAMBDA,96
UPSILON GTU,96
BOULE SIGMA,96
EPSILON PI,95
SOCIETY GAMMA,95
EPSILON PHI,95
BETA ZETA,94
INC FLORIDA,94
SORORITY EPSILON,94
BETA ETA,94
XI SORORITY,94
BETA NU,93
BETA LAMBDA,93
ZETA BETA,93
BETA IOTA,92
SOCIETY SIGMA,92
BETA XI,91
THETA PHI,90
LAMBDA ALPHA,89
ALPHA NU,89
BETA UPSILON,88
SIGMA TAU,87
CHI SIGMA,87
BETA RHO,86
EPSILON DELTA,85
SORORITY ETA,85
KAPPA TAU,85
INC GEORGIA,85
ALPHA UPSILON,83
INC PHI,83
SOCIETY EPSILON,83
SOCIETY TX,83
GAMMA BETA,82
NEW JERSEY,81
SIGMA LAMBDA,81
KAPPA OMICRON,80
ETA PHI,79
CHAPTER HOUSE,79
EPSILON SORORITY,78
BETA OMICRON,78
BETA MU,77
FRATERNITY NU,77
HOUSE ASSOCIATION,77
FRATERNITY RHO,77
KAPPA UNIVERSITY,77
FRATERNITY SIGMA,76
STATE CHAPTER,76
FRATERNITY UPSILON,75
FRATERNITY OMICRON,75
SOUTH CAROLINA,75
RHO NATIONAL,74
FRATERNITY INTERNATIONAL,74
CHAPTER KAPPA,74
INC OMEGA,74
SOCIETY CHI,73
PHI UPSILON,73
ZETA OMEGA,72
TAU GAMMA,72
UPSILON OMICRON,71
FRATERNITY XI,71
FRATERNITY CHI,70
SOCIETY DELTA,69
BETA DELTA,69
FOUNDATION INC,69
MEDICAL FRATERNITY,69
BETA OMEGA,68
OMICRON NU,68
CHAPTER ALPHA,67
PHI SORORITY,67
DELTA OMEGA,66
DELTA RHO,66
RHO FRATERNITY,66
INC SOUTH,64
SOCIETY KAPPA,64
GAMMA NU,64
PI OMEGA,64
SIGMA NATIONAL,64
IOTA PHI,64
PSI SORORITY,64
INC OHIO,63
PI CHI,63
NATIONAL SERVICE,63
EPSILON OMEGA,63
NU INC,63
PI LAMBDA,62
CHI PHI,62
OMEGA HOUSE,62
GAMMA OMEGA,61
FRATERNITY PI,61
SOCIETY ZETA,61
BETA CHI,61
INC MICHIGAN,61
FRATERNITY TAU,60
FRATERNITY PSI,60
THETA XI,60
NATIONAL FRATERNITY,59
FRATERNITY PHI,58
OMICRON INC,58
SIGMA RHO,58
TX ALUMNAE,57
DELTA UNIVERSITY,57
INTERNATIONAL OH,57
EPSILON MEDICAL,57
DELTA ALPHA,56
CITY ALUMNAE,56
CORPORATION KAPPA,56
ZETA PSI,55
FRATERNITY NEW,55
