Bigram,Frequency
PARENTS TEACHERS,6694
CONGRESS PARENTS,6555
PARENT TEACHER,3645
TEACHERS STUDENTS,3509
CALIFORNIA CONGRESS,3213
PTA CALIFORNIA,3211
ELEMENTARY SCHOOL,3194
STUDENTS INC,3178
TEACHER ORGANIZATION,2698
MIDDLE SCHOOL,2482
HIGH SCHOOL,2148
PTA TEXAS,2100
TEXAS CONGRESS,2099
SCHOOL PTO,1994
PTA NEW,1980
ELEMENTARY PTO,1701
SCHOOL PARENT,1530
NEW YORK,1378
YORK CONGRESS,1364
PTA FLORIDA,1311
FLORIDA CONGRESS,1310
SCHOOL PTSA,1085
VIRGINIA CONGRESS,944
BOOSTER CLUB,928
PTO INC,907
CAROLINA CONGRESS,897
TEACHERS INC,835
PTA NORTH,742
NORTH CAROLINA,738
SCHOOL PTA,694
ELEMENTARY PARENT,678
PTA UTAH,664
UTAH CONGRESS,662
ORGANIZATION INC,647
PTA GEORGIA,623
GEORGIA CONGRESS,623
ELEMENTARY PTA,577
NEW JERSEY,540
JERSEY CONGRESS,530
HIGH PTSA,517
ILLINOIS CONGRESS,444
OHIO CONGRESS,431
PTA OHIO,427
PTA DELAWARE,405
DELAWARE CONGRESS,403
ORGANIZATION PTO,355
MISSOURI CONGRESS,341
PARENT TEACHERS,329
PTA MISSOURI,319
ASSOCIATION INC,315
MARYLAND CONGRESS,309
PTA MARYLAND,309
KENTUCKY CONGRESS,293
PTA KENTUCKY,293
PENNSYLVANIA CONGRESS,281
PTA PENNSYLVANIA,281
COLORADO CONGRESS,270
PTA COLORADO,266
ELEM PTA,255
MIDDLE PTSA,250
BAND BOOSTERS,241
ELEM SCHOOL,240
CLUB INC,239
MICHIGAN CONGRESS,238
CREEK ELEMENTARY,235
PTSA MICHIGAN,232
TEACHER STUDENT,213
PARENTS ASSOCIATION,212
SCHOOL PTSO,209
HOME SCHOOL,204
TEACHER ASSOCIATION,203
SCHOOL ASSOCIATION,199
OKLAHOMA CONGRESS,192
PTA OKLAHOMA,187
PARK ELEMENTARY,184
COUNCIL PTAS,177
SOUTH CAROLINA,173
BOOSTERS INC,172
SCHOOL ORGANIZATION,170
INDIANA CONGRESS,169
PTA ARIZONA,168
JUNIOR HIGH,165
OREGON CONGRESS,161
PTA OREGON,161
ARIZONA CONGRESS,157
PTSA CONNECTICUT,155
TEACHERS ORGANIZATION,154
SCHOOL DISTRICT,151
STUDENT ORGANIZATION,150
PTA ALABAMA,149
ALABAMA CONGRESS,149
CONGRESS PARENT,147
JR HIGH,146
CONNECTICUT INC,146
PARENTS CLUB,145
SCHOOL BAND,144
PARENT ASSOCIATION,143
ACADEMY PTO,142
TEACHER CLUB,138
TENNESSEE CONGRESS,137
PTA TENNESSEE,135
