Bigram,Frequency
EDUCATION ASSOCIATION,3703
AMERICAN FEDERATION,1450
FEDERATION TEACHERS,1427
TEACHERS ASSOCIATION,1388
ILLINOIS EDUCATION,813
PROFESSIONAL EDUCATORS,798
ASSOCIATION TEXAS,789
TEXAS PROFESSIONAL,785
NEW JERSEY,702
JERSEY EDUCATION,648
CALIFORNIA TEACHERS,520
ASSOCIATION INC,506
ALPHA PHI,389
PHI SIGMA,389
STATE EDUCATION,375
NATIONAL ASSOCIATION,346
NEBRASKA STATE,339
MUSIC TEACHERS,286
NATIONAL EDUCATION,250
MASSACHUSETTS TEACHERS,206
RETIRED TEACHERS,201
TEACHERS NATIONAL,184
AIR FORCE,164
FORCE ASSOCIATION,164
EDUCATION ASSN,163
EDUCATION ASSOC,162
MISSOURI NATIONAL,158
ASSOCIATION COMPUTING,146
COMPUTING MACHINERY,145
MONTANA FEDERATION,135
PUBLIC EMPLOYEES,135
FEDERATION PUBLIC,135
CONNECTICUT EDUCATION,132
ASSOCIATION AF,118
EMPLOYEES ASSOCIATION,115
ASSOCIATION NEW,113
NEW MEXICO,104
ASSOCIATION TEACHERS,104
NEW YORK,95
COMMUNITY COLLEGE,91
EDUCATORS ASSOCIATION,91
TEXAS UNIVERSITY,90
CIVIL SERVICE,89
SERVICE EMPLOYEES,88
FOUNDATION INC,86
STATE UNIVERSITY,85
SIGMA PI,84
MOTHERS CLUB,83
UNIVERSITY MOTHERS,83
FEDERATION TEXAS,83
CALIFORNIA RETIRED,80
SINGING INC,78
TEACHERS SINGING,75
COUNTY EDUCATION,74
AMERICAN ASSOCIATION,73
EDUC ASSN,72
COLLEGE UNIVERSITY,70
CHAPTER NATS,70
ASSOCIATION CALIFORNIA,67
VIRGINIA RETIRED,67
AREA EDUCATION,66
ASSOCIATION EDUCATION,63
WYOMING EDUCATION,60
ASSOCIATION SCHOOL,58
EDUCATION INC,56
MEXICO INC,55
STATE TEACHERS,55
ASSOCIATION EDUCATORS,54
COUNCIL INC,54
TWP EA,53
HIGH SCHOOL,52
PROFESSIONAL ASSOCIATION,51
HIGHER EDUCATION,51
SOCIETY INC,51
SOCIETY WOMEN,51
READING COUNCIL,50
WOMEN ENGINEERS,50
TEACHERS ASSOC,49
TEACHERS ASSN,47
ASSOCIATION NORTH,47
NORTH CAROLINA,46
VALLEY EDUCATION,46
DENTAL SOCIETY,46
ASSOCIATION INCORPORATED,46
EDUCATION FOUNDATION,44
MACHINERY UNIVERSITY,44
ASSOCIATION UNIVERSITY,44
HUMAN RESOURCES,44
CLASSROOM TEACHERS,43
ASSOCIATION HUMAN,43
ENTREPRENEURS ORGANIZATION,43
UTAH EDUCATION,42
MEDICAL DENTAL,41
CHRISTIAN MEDICAL,41
YOUNG CHILDREN,41
NEW ENGLAND,41
UNIVERSITY PROFESSIONAL,41
EDUCATION YOUNG,41
EDUCATORS INC,40
FEDERATION STATE,40
STATE COLLEGE,40
MUNICIPAL EMPLOYEES,39
COUNTY MUNICIPAL,39
STATE COUNTY,39
FLORIDA EDUCATION,39
TEXAS STATE,39
SOUTH CAROLINA,38
ASSOCIATION SAN,37
SAN DIEGO,37
DELAWARE STATE,36
EDUCATIONAL ASSOCIATION,36
ASSOCIATION EAST,35
EXTENSION EDUCATION,35
ASSOCIATION SOUTH,34
ASSOCIATION WEST,34
ILLINOIS READING,33
TEXAS EXTENSION,33
TEACHERS AFT,32
INTERNATIONAL ASSOCIATION,32
YORK STATE,32
TEACHERS COUNCIL,32
LOCAL EDUCATION,32
ALUMNI ASSOCIATION,32
STRING TEACHERS,32
ASSOCIATION ILLINOIS,31
FACULTY ASSN,31
GEORGIA ASSOCIATION,31
CHAPTER AMERICAN,31
STATE AFA,30
AMERICAN STRING,30
COUNTY RETIRED,29
SCHOOL EMPLOYEES,29
TEACHERS LOCAL,29
ASSOCIATION EDUCATIONAL,29
STATE UNIVERSITIES,29
CALIFORNIA ASSOCIATION,29
LIBRARY ASSOCIATION,29
WEST VIRGINIA,29
ASSOCIATION COLLEGE,28
COUNCIL TEACHERS,28
AMERICAN SOCIETY,28
INTERNATIONAL SOCIETY,27
NETWORK INC,27
TCHRS ASSN,27
TEXAS ASSOCIATION,27
ASSOCIATION GIFTED,27
TRUST FUND,26
ASSOCIATION CENTRAL,26
STUDENT ASSOCIATION,26
NORTH AMERICA,26
RETIRED EDUCATORS,26
PHARMACISTS ASSOCIATION,26
FACULTY ASSOCIATION,25
CITY EDUCATION,25
AMERICAN COLLEGE,25
TEACHERS EDUCATION,25
SIGMA THETA,25
ASSOCIATION COLLEGES,25
UNIVERSITIES ANNUITANTS,25
ANNUITANTS ASSOCIATION,25
LITERACY ASSOCIATION,24
MASTER BREWERS,24
NORTH AMERICAN,24
COLLEGE FACULTY,24
SOCIETY UNIVERSITY,24
MUSIC EDUCATORS,24
CHAPTER INC,24
CENTRAL SCHOOL,24
PI BETA,24
TEACHERS MATHEMATICS,23
INSTITUTE INC,23
AMERICAN PHARMACISTS,23
TCHR ASSN,23
SIGMA DELTA,23
STATE UNIV,23
BREWERS ASSOCIATION,23
ASSOCIATION DISTRICT,23
NEW HAMPSHIRE,23
EDUCATIONAL FOUNDATION,23
SIGMA KAPPA,22
COUNTY ASSN,22
INTERNATIONAL LITERACY,22
SIGMA IOTA,22
PROFESSIONALS ASSOCIATION,22
ASSOCIATION COMMUNITY,21
NATIONAL COUNCIL,21
ASSOCIATION ACADEMY,21
ORANGE COUNTY,21
ACADEMY STUDENT,21
EDUCATORS ASSN,21
ASSOCIATION ST,21
SIGMA GAMMA,21
SIGMA EPSILON,21
OHIO ASSOCIATION,21
SCHOOL BUSINESS,20
DELTA KAPPA,20
GROUP INC,20
CAROLINA ASSOCIATION,20
ENGINEERS UNIVERSITY,20
FUND INC,20
NURSES ASSOCIATION,20
FLORIDA ASSOCIATION,20
EDUCATORS REGION,20
SIGMA BETA,20
BUSINESS OFFICIALS,20
ASSOCIATION CAREER,20
ST LOUIS,20
SUPPORT STAFF,20
CLUB INC,20
TEACHERS EAST,19
COUNTY ASSOCIATION,19
ASSOCIATION DIST,19
READING ASSOCIATION,19
SCHOOL BOARDS,19
VIRGINIA ASSOCIATION,19
SCIENCE TEACHERS,19
LANGUAGE TEACHERS,19
EDUCATION COUNCIL,19
SIGMA ZETA,19
NORTH DAKOTA,19
EDUCATION ASOCIATION,19
SIGMA INC,18
BAR ASSOCIATION,18
SIGMA ETA,18
BENEFIT FUND,18
CALIFORNIA SCHOOL,18
ASSN INC,18
ASSOC INC,18
BLACK SCHOOL,18
TEACHERS UNITED,18
NORTHERN CALIFORNIA,17
EARLY CHILDHOOD,17
HOME EDUCATORS,17
EDUCATIONAL SUPPORT,17
TEACHER EDUCATION,17
SIGMA OMEGA,17
STUDENT CHAPTER,17
COMPUTER USING,17
USING EDUCATORS,17
ASSOCIATION BENEFIT,17
COMMUNITY EDUCATION,17
SPECIAL EDUCATION,17
KANSAS CITY,17
MANAGEMENT ASSOCIATION,17
CAREER TECHNICAL,17
REAL ESTATE,17
SIGMA LAMBDA,17
OFFICERS ASSOCIATION,16
CORPORATE DIRECTORS,16
TEACHERS NORTH,16
BAY AREA,16
PENNSYLVANIA STATE,16
MEDICAL ASSOCIATION,16
PHI DELTA,16
ASSOCIATION AMERICA,16
TECHNICAL EDUCATION,16
STATE ASSOCIATION,16
NORTH TEXAS,16
RHODE ISLAND,16
COUNTY ASSOC,16
HPAE LOCAL,16
ASSOCIATION PENNSYLVANIA,16
STAFF ASSN,16
UNIVERSITY FACULTIES,15
GIFTED CHILDREN,15
COLLEGES UNIVERSITIES,15
SAN FRANCISCO,15
