Bigram,Frequency
SCHOLARSHIP FUND,4893
FOUNDATION INC,3864
MEMORIAL SCHOLARSHIP,2080
SCHOLARSHIP FOUNDATION,1801
FUND INC,1767
EDUCATION FOUNDATION,672
MEMORIAL FUND,580
MEMORIAL FOUNDATION,523
HIGH SCHOOL,488
SCHOLARSHIP TRUST,485
EDUCATIONAL FOUNDATION,481
AMERICAN ASSOCIATION,453
UNIVERSITY WOMEN,432
ASSOCIATION UNIVERSITY,430
ALUMNI ASSOCIATION,385
CHARITABLE FOUNDATION,379
FAMILY FOUNDATION,377
AMERICA INC,377
SCHOLARSHIP AMERICA,352
ASSOCIATION INC,294
SCHOLARSHIP TR,261
SCHOLARSHIP INC,246
DOLLARS SCHOLARS,237
ROTARY CLUB,229
SCHOOL ALUMNI,183
ROTARY FOUNDATION,153
CLUB FOUNDATION,145
EDUCATION FUND,144
ASSOCIATION SCHOLARSHIP,132
SCHOLARSHIP PROGRAM,129
CHARITABLE TRUST,126
CLUB INC,125
TRUST FUND,101
EDUCATIONAL FUND,100
CHARITABLE TR,96
ALUMNI SCHOLARSHIP,95
CLUB SCHOLARSHIP,93
KIWANIS CLUB,91
SCHOOL FOUNDATION,90
BOOSTER CLUB,89
COMMUNITY SCHOLARSHIP,88
SCHOOL SCHOLARSHIP,87
LOCAL SCHOLARSHIP,85
ASSOCIATION FOUNDATION,84
SCHOLARSHIP ASSOCIATION,83
PROGRAM INC,82
FOUNDATION INCORPORATED,81
WOMEN INC,81
CHAMBER COMMERCE,80
JR SCHOLARSHIP,79
SCHOOL DISTRICT,75
LEGACY FOUNDATION,73
FUND TRUST,72
JR MEMORIAL,72
CHARITIES INC,72
FAMILY SCHOLARSHIP,71
ENDOWMENT FUND,67
NEW YORK,62
EDUCATION INC,61
ORGANIZATION INC,60
SCHOLARSHIPS INC,58
EDUCATION ASSOCIATION,58
CHARITABLE FUND,58
COUNTY SCHOLARSHIP,57
SCHOLARSHIP ORGANIZATION,56
COMMUNITY FOUNDATION,56
NEW JERSEY,55
SCHOOLS FOUNDATION,53
EDUCATIONAL SCHOLARSHIP,53
WOMENS ALLIANCE,51
LOAN FUND,51
COLLEGE FOUNDATION,51
WOMANS CLUB,50
EDUCATION SCHOLARSHIP,48
WOMENS CLUB,47
AREA DOLLARS,46
NJ NONPROFIT,45
FINANCIAL WOMENS,45
FUND TR,45
TR UW,44
ACCOUNTING FINANCIAL,44
KIWANIS FOUNDATION,44
SCHOLARSHIP CHARITABLE,44
COUNTRY CLUB,44
SCHOLARS FOUNDATION,44
HALL FAME,43
FARM BUREAU,42
COMMERCE FOUNDATION,42
CLASS SCHOLARSHIP,41
PUBLIC SCHOOLS,41
STUDENT LOAN,41
ALUMNI FOUNDATION,40
SCHOLARSHIP COMMITTEE,40
NONPROFIT CORPORATION,40
FUND INCORPORATED,39
LIONS CLUB,39
MUSIC SCHOLARSHIP,38
SCHOLARSHIP CORPORATION,37
EDUCATIONAL TR,37
PHILANTHROPIC FUND,36
SOCIETY INC,36
SR SCHOLARSHIP,36
EDUCATIONAL TRUST,36
JR FOUNDATION,35
ATHLETIC SCHOLARSHIP,35
NURSING SCHOLARSHIP,35
FOUNDATION CORP,35
DISTRICT FOUNDATION,34
MEMORIAL INC,34
KIDS CHANCE,33
TRUST INC,33
COLLEGE SCHOLARSHIP,33
LEADERSHIP FOUNDATION,33
YOUTH FOUNDATION,32
SCHOLARS INC,32
HIGHER EDUCATION,32
SCHOLARSHIP ENDOWMENT,32
PROJECT INC,32
FOUNDATION EDUCATION,31
COUNTY FARM,31
LOS ANGELES,31
FAMILY CHARITABLE,31
NORTH CAROLINA,30
MEMORIAL TRUST,30
TRUST UW,30
HOPE FOUNDATION,30
BUREAU FOUNDATION,30
UNIVERSITY ALUMNI,29
INTERNATIONAL INC,29
INC DOLLARS,29
FOUNDATION NFP,29
TR FUND,29
FOUNDATION LTD,29
CHAMBER FOUNDATION,29
RETIRED TEACHERS,29
ALPHA PSI,28
COUNTY INC,28
SCHOOL CLASS,28
STATE UNIVERSITY,28
FOUNDATION CORPORATION,27
ROTARY SCHOLARSHIP,27
GO TEXAN,27
GROUP INC,27
KAPPA ALPHA,27
ET AL,27
ASSOCIATION PHILANTHROPIC,27
SAN DIEGO,27
COUNTY EDUCATION,27
SOLE MBR,27
FOUNDATION TRUST,26
STUDENT AID,26
USA INC,25
COMMITTEE INC,25
ROTARY CHARITABLE,25
MEDICAL SOCIETY,25
LEGACY SCHOLARSHIP,24
CHARITY INC,24
FUND CORP,24
COUNTY GO,24
JOHNSON MEMORIAL,24
MARTIN LUTHER,24
SMITH SCHOLARSHIP,24
LUTHER KING,24
SOUTH CAROLINA,24
AL TTEE,24
LEGACY FUND,24
ALLIANCE INC,24
COMMUNITY COLLEGE,23
BAR ASSOCIATION,23
TEAMSTERS LOCAL,23
INSTITUTE INC,23
SERVICE FOUNDATION,23
CHAPTER INC,23
FUND CHARITABLE,23
COMMUNITY DEVELOPMENT,22
COMMUNITY FUND,22
SCHOLARSHIP FD,22
NATIONAL ASSOCIATION,22
BAR FOUNDATION,22
KING JR,22
GOLF SCHOLARSHIP,22
