,NAME,STNAME,Abbreviation,POPESTIMATE2023
21084,New York,New York,NY,8258035
17993,Los Angeles,California,CA,3820914
7698,Chicago,Illinois,IL,2664452
15112,Houston,Texas,TX,2314157
23145,Phoenix,Arizona,AZ,1650070
23122,Philadelphia,Pennsylvania,PA,1550542
25630,San Antonio,Texas,TX,1495295
25637,San Diego,California,CA,1388320
9207,Dallas,Texas,TX,1302868
15687,Jacksonville,Florida,FL,985843
1191,Austin,Texas,TX,979882
12008,Fort Worth,Texas,TX,978468
25649,San Jose,California,CA,969655
8419,Columbus,Ohio,OH,913175
7511,Charlotte,North Carolina,NC,911311
15445,Indianapolis,Indiana,IN,888578
25643,San Francisco,California,CA,808988
14453,Hempstead,New York,NY,785678
26037,Seattle,Washington,WA,755078
9652,Denver,Colorado,CO,716577
21992,Oklahoma City,Oklahoma,OK,702767
29969,Washington,District of Columbia,DC,678972
10675,El Paso,Texas,TX,678958
17064,Las Vegas,Nevada,NV,660929
5717,Boston,Massachusetts,MA,653833
9706,Detroit,Michigan,MI,633218
23794,Portland,Oregon,OR,630498
19326,Memphis,Tennessee,TN,618639
4367,Baltimore,Maryland,MD,565239
19786,Milwaukee,Wisconsin,WI,561385
268,Albuquerque,New Mexico,NM,560274
28891,Tucson,Arizona,AZ,547239
12280,Fresno,California,CA,545716
25508,Sacramento,California,CA,526384
19439,Mesa,Arizona,AZ,511648
1064,Atlanta,Georgia,GA,510823
16048,Kansas City,Missouri,MO,510704
2522,Balance Of Hempstead,New York,NY,510440
8362,Colorado Springs,Colorado,CO,488664
6149,Brookhaven,New York,NY,488338
22082,Omaha,Nebraska,NE,483335
24189,Raleigh,North Carolina,NC,482295
19477,Miami,Florida,FL,455924
29595,Virginia Beach,Virginia,VA,453649
1636,Balance Of Brookhaven,New York,NY,451526
17904,Long Beach,California,CA,449468
21823,Oakland,California,CA,436504
19832,Minneapolis,Minnesota,MN,425115
1315,Bakersfield,California,CA,413381
28909,Tulsa,Oklahoma,OK,411894
28255,Tampa,Florida,FL,403364
873,Arlington,Texas,TX,398431
30938,Wichita,Kansas,KS,396119
1165,Aurora,Colorado,CO,395052
21021,New Orleans,Louisiana,LA,364136
8045,Cleveland,Ohio,OH,362656
594,Anaheim,California,CA,340512
14465,Henderson,Nevada,NV,337305
15617,Islip,New York,NY,336822
2640,Balance Of Islip,New York,NY,329747
22245,Orlando,Florida,FL,320742
27712,Stockton,California,CA,319543
24821,Riverside,California,CA,318858
8685,Corpus Christi,Texas,TX,316595
15564,Irvine,California,CA,314621
7807,Cincinnati,Ohio,OH,311097
25756,Santa Ana,California,CA,310539
21095,Newark,New Jersey,NJ,304960
27436,St. Paul,Minnesota,MN,303820
23354,Pittsburgh,Pennsylvania,PA,303255
13481,Greensboro,North Carolina,NC,302296
22491,Oyster Bay,New York,NY,297782
10188,Durham,North Carolina,NC,296186
17566,Lincoln,Nebraska,NE,294757
15845,Jersey City,New Jersey,NJ,291657
23431,Plano,Texas,TX,290190
21497,North Las Vegas,Nevada,NV,284771
27393,St. Louis,Missouri,MO,281754
18394,Madison,Wisconsin,WI,280305
7449,Chandler,Arizona,AZ,280167
12730,Gilbert,Arizona,AZ,275411
24485,Reno,Nevada,NV,274915
6391,Buffalo,New York,NY,274678
7787,Chula Vista,California,CA,274333
12005,Fort Wayne,Indiana,IN,269994
18146,Lubbock,Texas,TX,266878
28645,Toledo,Ohio,OH,265304
27449,St. Petersburg,Florida,FL,263553
17045,Laredo,Texas,TX,257602
15572,Irving,Texas,TX,254373
7628,Chesapeake,Virginia,VA,253886
12861,Glendale,Arizona,AZ,253855
31297,Winston-Salem,North Carolina,NC,252975
23745,Port St. Lucie,Florida,FL,245021
25987,Scottsdale,Arizona,AZ,244394
12509,Garland,Texas,TX,243470
3348,Balance Of Oyster Bay,New York,NY,239559
21477,North Hempstead,New York,NY,235781
5621,Boise City,Idaho,ID,235421
21354,Norfolk,Virginia,VA,230930
27115,Spokane,Washington,WA,229447
24654,Richmond,Virginia,VA,229247
12249,Fremont,California,CA,226208
15286,Huntsville,Alabama,AL,225564
12306,Frisco,Texas,TX,225007
6935,Cape Coral,Florida,FL,224455
25765,Santa Clarita,California,CA,224028
25633,San Bernardino,California,CA,223728
28209,Tacoma,Washington,WA,222906
14586,Hialeah,Florida,FL,221300
4573,Baton Rouge,Louisiana,LA,219573
19926,Modesto,California,CA,218915
1261,Babylon,New York,NY,217046
11863,Fontana,California,CA,215465
19148,Mckinney,Texas,TX,213509
20207,Moreno Valley,California,CA,212392
9689,Des Moines,Iowa,IA,210381
11606,Fayetteville,North Carolina,NC,209749
25604,Salt Lake City,Utah,UT,209593
31660,Yonkers,New York,NY,207657
31517,Worcester,Massachusetts,MA,207621
24915,Rochester,New York,NY,207274
26574,Sioux Falls,South Dakota,SD,206410
17710,Little Rock,Arkansas,AR,203842
15265,Huntington,New York,NY,202910
520,Amarillo,Texas,TX,202408
28231,Tallahassee,Florida,FL,202221
13192,Grand Prairie,Texas,TX,202134
8405,Columbus,Georgia,GA,201877
22989,Peoria,Arizona,AZ,198750
22489,Oxnard,California,CA,198488
16495,Knoxville,Tennessee,TN,198162
22428,Overland Park,Kansas,KS,197089
5299,Birmingham,Alabama,AL,196644
13194,Grand Rapids,Michigan,MI,196608
29335,Vancouver,Washington,WA,196442
20065,Montgomery,Alabama,AL,195287
15274,Huntington Beach,California,CA,192129
24041,Providence,Rhode Island,RI,190792
6251,Brownsville,Texas,TX,190158
2602,Balance Of Huntington,New York,NY,190072
28361,Tempe,Arizona,AZ,189834
187,Akron,Ohio,OH,188701
12862,Glendale,California,CA,187050
7554,Chattanooga,Tennessee,TN,187030
11975,Fort Lauderdale,Florida,FL,184255
21202,Newport News,Virginia,VA,183118
19916,Mobile,Alabama,AL,182595
22127,Ontario,California,CA,182457
7915,Clarksville,Tennessee,TN,180716
7116,Cary,North Carolina,NC,180010
10781,Elk Grove,California,CA,178444
26436,Shreveport,Louisiana,LA,177959
11227,Eugene,Oregon,OR,177899
1166,Aurora,Illinois,IL,177563
25558,Salem,Oregon,OR,177432
25777,Santa Rosa,California,CA,175845
24210,Rancho Cucamonga,California,CA,174405
22941,Pembroke Pines,Florida,FL,171119
11960,Fort Collins,Colorado,CO,170376
27223,Springfield,Missouri,MO,170188
21895,Oceanside,California,CA,170020
1458,Balance Of Babylon,New York,NY,168391
12470,Garden Grove,California,CA,168234
24975,Rockford,Illinois,IL,167522
16963,Lancaster,California,CA,166236
20591,Murfreesboro,Tennessee,TN,165430
22572,Palmdale,California,CA,161404
8681,Corona,California,CA,160238
16305,Killeen,Texas,TX,159643
25576,Salinas,California,CA,159506
25219,Roseville,California,CA,159135
9651,Denton,Texas,TX,158349
28070,Surprise,Arizona,AZ,158285
22778,Paterson,New Jersey,NJ,156452
16912,Lakewood,Colorado,CO,155961
14338,Hayward,California,CA,155675
7491,Charleston,South Carolina,SC,155369
316,Alexandria,Virginia,VA,155230
14909,Hollywood,Florida,FL,153859
27220,Springfield,Massachusetts,MA,153672
21388,North,Indiana,IN,153668
16047,Kansas City,Kansas,KS,152933
24197,Ramapo,New York,NY,152843
28037,Sunnyvale,California,CA,151967
7322,Center,Indiana,IN,151685
4886,Bellevue,Washington,WA,151574
30783,Wheeling,Illinois,IL,151100
28508,Thornton,Illinois,IL,150526
15907,Joliet,Illinois,IL,150489
20664,Naperville,Illinois,IL,150245
11166,Escondido,California,CA,148122
5990,Bridgeport,Connecticut,CT,148028
9968,Downers Grove,Illinois,IL,147793
25852,Savannah,Georgia,GA,147748
22004,Olathe,Kansas,KS,147461
30160,Wayne,Indiana,IN,147393
19448,Mesquite,Texas,TX,147317
22761,Pasadena,Texas,TX,146716
19049,Mcallen,Texas,TX,146593
31527,Worth,Illinois,IL,146045
12387,Gainesville,Florida,FL,145812
28197,Syracuse,New York,NY,145560
23656,Pomona,California,CA,145502
29599,Visalia,California,CA,144998
24045,Proviso,Illinois,IL,144982
28507,Thornton,Colorado,CO,144922
29642,Waco,Texas,TX,144816
15664,Jackson,Mississippi,MS,143709
8393,Columbia,South Carolina,SC,142416
16915,Lakewood,New Jersey,NJ,139866
12340,Fullerton,California,CA,139250
28703,Torrance,California,CA,139224
29498,Victorville,California,CA,138869
19576,Midland,Texas,TX,138397
22162,Orange,California,CA,138337
19870,Miramar,Florida,FL,138319
29972,Washington,Indiana,IN,137283
13916,Hampton,Virginia,VA,137098
29907,Warren,Michigan,MI,136655
27477,Stamford,Connecticut,CT,136226
7295,Cedar Rapids,Iowa,IA,135958
10751,Elizabeth,New Jersey,NJ,135829
22561,Palm Bay,Florida,FL,135566
9377,Dayton,Ohio,OH,135512
20939,New Haven,Connecticut,CT,135319
8618,Coral Springs,Florida,FL,134906
19398,Meridian,Idaho,ID,134801
30583,West Valley City,Utah,UT,134470
18442,Maine,Illinois,IL,134328
22760,Pasadena,California,CA,133560
17443,Lewisville,Texas,TX,133553
16206,Kent,Washington,WA,133378
27639,Sterling Heights,Michigan,MI,133306
11511,Fargo,North Dakota,ND,133188
7076,Carrollton,Texas,TX,132918
558,Amherst,New York,NY,131063
25760,Santa Clara,California,CA,131062
25290,Round Rock,Texas,TX,130406
21368,Norman,Oklahoma,OK,130046
25901,Schaumburg,Illinois,IL,129346
8385,Columbia,Missouri,MO,129330
24,Abilene,Texas,TX,129043
22876,Pearland,Texas,TX,127736
31663,York,Illinois,IL,126406
8148,Clovis,California,CA,125826
1379,Balance Of Amherst,New York,NY,125622
28685,Topeka,Kansas,KS,125475
8317,College Station,Texas,TX,125192
26544,Simi Valley,California,CA,125113
383,Allentown,Pennsylvania,PA,124880
30517,West Palm Beach,Florida,FL,124130
28520,Thousand Oaks,California,CA,123463
29267,Vallejo,California,CA,122807
31116,Wilmington,North Carolina,NC,122698
24913,Rochester,Minnesota,MN,122413
8471,Concord,California,CA,122315
16867,Lakeland,Florida,FL,122264
17124,Lawrence,Indiana,IN,121529
21437,North Charleston,South Carolina,SC,121469
16680,Lafayette,Louisiana,LA,121467
931,Arvada,Colorado,CO,121414
15404,Independence,Missouri,MO,120922
5263,Billings,Montana,MT,120864
11375,Fairfield,California,CA,120768
23027,Perry,Indiana,IN,120543
14145,Hartford,Connecticut,CT,119669
663,Ann Arbor,Michigan,MI,119381
6112,Broken Arrow,Oklahoma,OK,119194
5044,Berkeley,California,CA,118962
6771,Cambridge,Massachusetts,MA,118214
19764,Milton,Illinois,IL,118024
17664,Lisle,Illinois,IL,117954
24583,Richardson,Texas,TX,117435
714,Antioch,California,CA,117096
14635,High Point,North Carolina,NC,116926
8006,Clearwater,Florida,FL,116850
17185,League City,Texas,TX,116320
21929,Odessa,Texas,TX,115743
18519,Manchester,New Hampshire,NH,115474
26674,Smithtown,New York,NY,115460
11268,Evansville,Indiana,IN,115332
30019,Waterbury,Connecticut,CT,114990
30465,West Jordan,Utah,UT,114908
17063,Las Cruces,New Mexico,NM,114892
30662,Westminster,Colorado,CO,114875
18075,Lowell,Massachusetts,MA,114296
20653,Nampa,Idaho,ID,114268
24634,Richmond,California,CA,114106
23662,Pompano Beach,Florida,FL,113619
6999,Carlsbad,California,CA,113495
19350,Menifee,California,CA,113433
24047,Provo,Utah,UT,113343
10729,Elgin,Illinois,IL,113310
13368,Greeley,Colorado,CO,112609
27215,Springfield,Illinois,IL,112544
4695,Beaumont,Texas,TX,112193
17024,Lansing,Michigan,MI,112115
20605,Murrieta,California,CA,111878
13029,Goodyear,Arizona,AZ,111805
371,Allen,Texas,TX,111620
28958,Tuscaloosa,Alabama,AL,111338
11284,Everett,Washington,WA,111180
24051,Pueblo,Colorado,CO,111077
20870,New Braunfels,Texas,TX,110958
26873,South Fulton,Georgia,GA,110920
6941,Capital,Illinois,IL,110724
19485,Miami Gardens,Florida,FL,110717
13560,Gresham,Oregon,OR,110685
28360,Temecula,California,CA,110682
24763,Rio Rancho,New Mexico,NM,110660
3810,Balance Of Smithtown,New York,NY,110638
18303,Lyons,Illinois,IL,110569
22990,Peoria,Illinois,IL,110460
29014,Tyler,Texas,TX,110327
27038,Sparks,Nevada,NV,110323
8483,Concord,North Carolina,NC,110119
5497,Bloomingdale,Illinois,IL,110045
25774,Santa Maria,California,CA,109987
22542,Palatine,Illinois,IL,109502
6336,Buckeye,Arizona,AZ,108909
9969,Downey,California,CA,108816
27909,Sugar Land,Texas,TX,108515
8720,Costa Mesa,California,CA,108354
8530,Conroe,Texas,TX,108248
27116,Spokane Valley,Washington,WA,108235
9334,Davie,Florida,FL,107799
14725,Hillsboro,Oregon,OR,107730
21269,Niles,Illinois,IL,107543
15999,Jurupa Valley,California,CA,107321
7320,Centennial,Colorado,CO,106883
10598,Edison,New Jersey,NJ,106836
5729,Boulder,Colorado,CO,105898
9425,Dearborn,Michigan,MI,105811
10592,Edinburg,Texas,TX,105799
25731,Sandy Springs,Georgia,GA,105793
13383,Green Bay,Wisconsin,WI,105744
30421,West Covina,California,CA,105617
29904,Warren,Indiana,IN,105205
6101,Brockton,Massachusetts,MA,104890
27343,St. George,Utah,UT,104578
4956,Bend,Oregon,OR,104557
24495,Renton,Washington,WA,104491
17243,Lee'S Summit,Missouri,MO,104184
11731,Fishers,Indiana,IN,104094
10673,El Monte,California,CA,103794
26818,South Bend,Indiana,IN,103395
24552,Rialto,California,CA,103391
31401,Woodbridge,New Jersey,NJ,103194
10662,El Cajon,California,CA,102991
15468,Inglewood,California,CA,102865
6445,Burbank,California,CA,102755
30939,Wichita Falls,Texas,TX,102691
29245,Vacaville,California,CA,102526
5941,Bremen,Illinois,IL,102413
7015,Carmel,Indiana,IN,102296
22565,Palm Coast,Florida,FL,102113
11602,Fayetteville,Arkansas,AR,101680
7931,Clay,Indiana,IN,101614
24122,Quincy,Massachusetts,MA,101597
25662,San Mateo,California,CA,101327
7708,Chico,California,CA,101301
18273,Lynn,Massachusetts,MA,101241
227,Albany,New York,NY,101228
31714,Yuma,Arizona,AZ,100858
20857,New Bedford,Massachusetts,MA,100695
27891,Suffolk,Virginia,VA,100659
14568,Hesperia,California,CA,100633
9323,Davenport,Iowa,IA,100354
5599,Boca Raton,Florida,FL,99974
9224,Daly City,California,CA,99833
3230,Balance Of North Hempstead,New York,NY,99381
8122,Clinton Charter,Michigan,MI,99377
25627,San Angelo,Texas,TX,99262
28668,Toms River,New Jersey,NJ,99091
9606,Deltona,Florida,FL,98739
17939,Longmont,Colorado,CO,98630
29600,Vista,California,CA,98344
16187,Kenosha,Wisconsin,WI,98211
10604,Edmond,Oklahoma,OK,98103
21658,Norwalk,California,CA,98078
6922,Canton Charter,Michigan,MI,98041
28741,Tracy,California,CA,98010
11616,Federal Way,Washington,WA,97701
11984,Fort Myers,Florida,FL,97372
24867,Roanoke,Virginia,VA,97171
4731,Beaverton,Oregon,OR,96945
28040,Sunrise,Florida,FL,96808
23805,Portsmouth,Virginia,VA,96793
31616,Yakima,Washington,WA,96750
23433,Plantation,Florida,FL,96548
12647,Georgetown,Texas,TX,96312
17125,Lawrence,Kansas,KS,96207
13959,Hanover,Illinois,IL,96034
22219,Orem,Utah,UT,95519
22994,Peoria City,Illinois,IL,95511
20449,Mount Pleasant,South Carolina,SC,95232
961,Asheville,North Carolina,NC,95056
22239,Orland,Illinois,IL,94913
24340,Reading,Pennsylvania,PA,94903
4894,Bellingham,Washington,WA,94720
13367,Greece,New York,NY,94591
23755,Portage,Indiana,IN,94467
25659,San Marcos,California,CA,94188
21742,O'Fallon,Missouri,MO,94074
11476,Fall River,Massachusetts,MA,93840
19379,Merced,California,CA,93692
1241,Avondale,Arizona,AZ,93545
7743,Chino,California,CA,93114
28366,Temple,Texas,TX,93095
15454,Indio,California,CA,93057
11140,Erie,Pennsylvania,PA,92957
18348,Macomb,Michigan,MI,92747
24391,Redding,California,CA,92727
13422,Greenburgh,New York,NY,92600
21659,Norwalk,Connecticut,CT,92458
15016,Hoover,Alabama,AL,92448
14446,Hemet,California,CA,92368
17765,Livonia,Michigan,MI,92185
25723,Sandy,Utah,UT,91943
25262,Roswell,Georgia,GA,91706
13852,Hamilton,New Jersey,NJ,91640
10782,Elk Grove,Illinois,IL,91444
16431,Kirkland,Washington,WA,91194
7081,Carson,California,CA,91139
18602,Manteca,California,CA,91059
20696,Nashua,New Hampshire,NH,91003
8461,Compton,California,CA,90986
19885,Mission Viejo,California,CA,90624
30757,Wheatland,Illinois,IL,90303
17149,Lawton,Oklahoma,OK,90245
17272,Lehi,Utah,UT,90227
