,NAME,STNAME,Abbreviation,POPESTIMATE2023,Educational Nonprofits
0,New York,New York,NY,8258035,3506
1,Chicago,Illinois,IL,2664452,3080
2,Indianapolis,Indiana,IN,888578,2047
3,Austin,Texas,TX,979882,2021
4,Washington,District of Columbia,DC,678972,1834
5,Houston,Texas,TX,2314157,1792
6,Dallas,Texas,TX,1302868,1567
7,Jackson,Mississippi,MS,143709,1566
8,Atlanta,Georgia,GA,510823,1395
9,Los Angeles,California,CA,3820914,1388
10,Kansas City,Missouri,MO,510704,1239
11,Philadelphia,Pennsylvania,PA,1550542,1027
12,Las Vegas,Nevada,NV,660929,1002
13,San Antonio,Texas,TX,1495295,973
14,Columbus,Ohio,OH,913175,921
15,San Diego,California,CA,1388320,893
16,Carmel,Indiana,IN,102296,886
17,Pittsburgh,Pennsylvania,PA,303255,862
18,Denver,Colorado,CO,716577,813
19,Miami,Florida,FL,455924,771
20,Charlotte,North Carolina,NC,911311,770
21,Phoenix,Arizona,AZ,1650070,716
22,Sacramento,California,CA,526384,712
23,Seattle,Washington,WA,755078,697
24,Orlando,Florida,FL,320742,684
25,Madison,Wisconsin,WI,280305,678
26,Portland,Oregon,OR,630498,660
27,Raleigh,North Carolina,NC,482295,653
28,San Francisco,California,CA,808988,649
29,Cincinnati,Ohio,OH,311097,643
30,Tampa,Florida,FL,403364,638
31,San Jose,California,CA,969655,629
33,Baltimore,Maryland,MD,565239,606
32,Lincoln,Nebraska,NE,294757,606
34,Jacksonville,Florida,FL,985843,551
35,Minneapolis,Minnesota,MN,425115,533
36,Milwaukee,Wisconsin,WI,561385,530
37,Tucson,Arizona,AZ,547239,523
38,Fort Worth,Texas,TX,978468,518
39,Davie,Florida,FL,107799,509
40,Oxford,Ohio,OH,24793,477
41,Brentwood,Tennessee,TN,45265,467
43,Des Moines,Iowa,IA,210381,462
42,New Orleans,Louisiana,LA,364136,462
44,Memphis,Tennessee,TN,618639,443
45,Boston,Massachusetts,MA,653833,443
46,Albuquerque,New Mexico,NM,560274,440
47,Asheville,North Carolina,NC,95056,426
48,Tallahassee,Florida,FL,202221,412
49,Florence,Alabama,AL,42437,410
51,Baton Rouge,Louisiana,LA,219573,407
50,Richmond,Virginia,VA,229247,407
52,Knoxville,Tennessee,TN,198162,404
