State,Abbreviation,Population,count
California,CA,39512223,7352
New York,NY,19453561,4080
Texas,TX,28995881,3584
Pennsylvania,PA,12801989,2489
Florida,FL,21477737,2363
Massachusetts,MA,6892503,2171
Illinois,IL,12671821,2036
Ohio,OH,11689100,1905
New Jersey,NJ,8882190,1877
North Carolina,NC,10488084,1630
Virginia,VA,8535519,1543
Georgia,GA,10617423,1470
Washington,WA,7614893,1283
Michigan,MI,9986857,1165
Minnesota,MN,5639632,1129
Colorado,CO,5758736,1075
Maryland,MD,6045680,962
Wisconsin,WI,5822434,913
Indiana,IN,6732219,891
Connecticut,CT,3565287,886
Tennessee,TN,6829174,863
Oregon,OR,4217737,839
Arizona,AZ,7278717,818
Missouri,MO,6137428,816
South Carolina,SC,5148714,802
District of Columbia,DC,705749,603
Iowa,IA,3155070,557
Louisiana,LA,4648794,534
Kentucky,KY,4467673,526
Alabama,AL,4903185,509
Kansas,KS,2913314,481
Oklahoma,OK,3956971,481
Arkansas,AR,3017804,355
New Hampshire,NH,1359711,339
Nebraska,NE,1934408,328
Maine,ME,1344212,321
Utah,UT,3205958,312
New Mexico,NM,2096829,303
Mississippi,MS,2976149,298
Hawaii,HI,1415872,245
Rhode Island,RI,1059361,235
Nevada,NV,3080156,226
Montana,MT,1068778,220
Idaho,ID,1787065,219
Vermont,VT,623989,213
West Virginia,WV,1792147,183
Delaware,DE,973764,173
South Dakota,SD,884659,153
North Dakota,ND,762062,121
Alaska,AK,731545,121
Wyoming,WY,578759,102
Puerto Rico,PR,3193694,59
